sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink
4559,6/12/2009 8:19:52 AM,13,53.0704084318131,8.86579848825932,54,0,159,51872034,T,9.430892573612224,1.2435559991344705
4559,6/12/2009 8:19:57 AM,13,53.0704083479941,8.8657992426306,54,0,136,51872034,F,9.431727804707386,1.2420636913886542
4559,6/12/2009 8:20:03 AM,13,53.0702770873904,8.86617357842624,52,28,123,51872034,T,9.351248766970647,0.2760248411195616
4559,6/12/2009 8:20:09 AM,13,53.0699251312763,8.86701277457178,52,46,125,67948713,,7.335121697792863,0.2802504143767156
4559,6/12/2009 8:20:14 AM,13,53.0696667172015,8.86780276894569,49,45,124,67948713,T,1.7101469692871905,0.2292398036095283
4559,6/12/2009 8:20:19 AM,13,53.069269079715,8.86870675720274,49,55,129,51872117,,6.03635799438651,0.17498420461648065
4559,6/12/2009 8:20:24 AM,13,53.0688275210559,8.86959012597799,48,56,129,51872117,F,13.70677558126865,0.06555082071509478
4559,6/12/2009 8:20:29 AM,13,53.0683871358633,8.87050702236593,47,57,130,51872181,,21.971632514831285,1.3285337327961746
4559,6/12/2009 8:20:34 AM,13,53.0679261311889,8.87139483354986,47,54,129,797897590,,5.128203110031112,0.21431106484792412
4559,6/12/2009 8:20:39 AM,13,53.0676475167274,8.87190411798656,49,10,107,51872116,,9.36971480205767,0.20656577668466825
4559,6/12/2009 8:20:44 AM,13,53.0676328483969,8.8719108235091,48,0,147,797897592,,1.4781557708849424,0.2590399883860248
4559,6/12/2009 8:20:49 AM,13,53.0676243826747,8.87191317044199,48,0,230,797897592,T,1.3851194560724536,0.24762804536731556
4559,6/12/2009 8:20:54 AM,13,53.0676221195608,8.87191459536552,48,0,150,797897577,F,0.7080027236306449,0.24256632594564825
4559,6/12/2009 8:20:59 AM,13,53.0676190182567,8.87191526591778,48,0,152,797897577,F,0.7197310579973009,0.22371647067643297
4559,6/12/2009 8:21:04 AM,13,53.0676178447902,8.87191509827971,48,0,161,797897577,F,0.7270735377543384,0.2182226277141103
4559,6/12/2009 8:21:09 AM,13,53.0676156654954,8.87191476300359,48,0,205,797897577,F,0.7411153826044737,0.20826687935002988
4559,6/12/2009 8:21:14 AM,13,53.067614743486,8.87191509827971,48,0,35,797897577,F,0.7444484339713882,0.20239782735702846
4559,6/12/2009 8:21:19 AM,13,53.0676143243909,8.87191593647003,48,0,137,797897577,T,0.7422078471141996,0.19726317636974194
4559,6/12/2009 8:21:24 AM,13,53.0675135739148,8.87210469692945,47,17,141,797897592,,1.3758591374303522,0.19570616622433504
4559,6/12/2009 8:21:29 AM,13,53.067197073251,8.87197318486869,50,32,208,51872100,,7.2505059328835255,0.028598624134474927
4559,6/12/2009 8:21:34 AM,13,53.0666834302247,8.87155601754785,52,47,207,51872110,,0.898981858382726,0.028014047513259248
4559,6/12/2009 8:21:39 AM,13,53.0661245249212,8.87109853327274,51,48,207,51872100,,6.023316482246278,0.03906147109532061
4559,6/12/2009 8:21:44 AM,13,53.065616665408,8.87067717500031,51,40,206,726159767,,6.969957640501107,0.09141795132114143
4559,6/12/2009 8:21:49 AM,13,53.065241323784,8.87036511674523,52,31,207,726159767,T,2.3100290050873813,0.05760611167802826
4559,6/12/2009 8:21:54 AM,13,53.0649415869266,8.87018607929349,53,20,197,781554862,,7.933660315218146,0.026623146238073263
4559,6/12/2009 8:22:00 AM,13,53.0647832527757,8.87006169185042,53,5,210,726159767,F,3.1701347494572625,0.012621216403506755
4559,6/12/2009 8:22:05 AM,13,53.0647541675717,8.87003453448415,54,0,190,726159767,F,3.5370878288722323,0.004591676541063439
4559,6/12/2009 8:22:10 AM,13,53.0647517368197,8.87003302574158,55,0,153,726159767,F,3.565909518563992,0.004488133249068559
4559,6/12/2009 8:22:15 AM,13,53.0647514853626,8.87003637850285,55,0,161,726159767,T,3.5603130383219272,0.002044254416642836
4559,6/12/2009 8:22:20 AM,13,53.0647468753159,8.87003034353256,57,2,210,726159767,F,3.622740840840887,0.0036706118189742043
4559,6/12/2009 8:22:25 AM,13,53.06456733495,8.8698351290077,57,20,218,781554862,,12.70755962517745,0.03376558583201646
4559,6/12/2009 8:22:30 AM,13,53.064303221181,8.86962742544711,56,24,184,726159767,,9.223010946375577,0.09335696302497964
4559,6/12/2009 8:22:35 AM,13,53.0640443880111,8.87007158249617,57,36,119,726159767,F,11.22555341582014,0.19333011994338087
4559,6/12/2009 8:22:40 AM,13,53.0637479200959,8.870885130018,57,49,121,572245506,,4.6227560365119045,0.1596684016873011
4559,6/12/2009 8:22:45 AM,13,53.0634093750268,8.87183488346636,56,56,120,572245505,,5.236120420078045,0.40220769103824117
4559,6/12/2009 8:22:50 AM,13,53.063050294295,8.8728448189795,56,57,120,572245502,T,21.383135400800608,0.1663862609682287
4559,6/12/2009 8:22:55 AM,13,53.0626749526709,8.87390412390232,57,59,121,572245502,T,13.170897023286283,0.19950780915746147
4559,6/12/2009 8:23:00 AM,13,53.062302544713,8.87494926340878,57,57,120,572245502,T,5.057343596054452,0.3113811215805278
4559,6/12/2009 8:23:05 AM,13,53.0619473196566,8.87595433741808,56,55,121,572245501,,28.930117039504967,0.013593863550735826
4559,6/12/2009 8:23:10 AM,13,53.061588825658,8.87694952078164,56,56,121,572245502,,10.48134936504348,0.04785902832954652
4559,6/12/2009 8:23:15 AM,13,53.0612216982991,8.87796062976122,55,57,121,572245501,,13.295691882626253,0.10146382321420504
4559,6/12/2009 8:23:20 AM,13,53.0608492903411,8.87898447923362,54,57,121,572245501,T,5.312969619600773,0.09630275097922465
4559,6/12/2009 8:23:25 AM,13,53.0604356434196,8.87998041696846,54,59,130,67948729,,4.15041576946418,0.06923903434965498
4560,6/12/2009 8:10:37 AM,13,53.0695869214833,8.87312393635511,51,2,307,51872180,F,1.5855287805459057,0.1831457759951587
4560,6/12/2009 8:10:42 AM,13,53.069636290893,8.87311823666096,50,3,322,51872180,F,2.076384286551082,0.23734184339629735
4560,6/12/2009 8:10:47 AM,13,53.0696791224182,8.87309216894209,49,3,351,51872180,F,2.5801189097815187,0.5213993590114167
4560,6/12/2009 8:10:53 AM,13,53.0697032622993,8.87308403849602,49,3,234,51872180,F,2.8461692535880894,0.7228035217949706
4560,6/12/2009 8:10:58 AM,13,53.0697026755661,8.87307398021221,49,0,360,51872180,F,2.8686490398187128,0.6675315143685284
4560,6/12/2009 8:11:03 AM,13,53.0697128176689,8.8730419613421,49,0,360,51872180,F,3.0662115325431936,0.611540574464488
4560,6/12/2009 8:11:09 AM,13,53.0697197746485,8.87295445427299,49,0,360,51872180,F,3.444960170407581,0.2242221057659087
